pid,start_time,end_time,elements_processed,bytes_sent
16,357942.779727,357942.779787,1500,0
18,357942.779825,357942.779886,1500,0
19,357942.779857,357942.779901,1500,0
20,357942.779964,357942.780028,1500,0
21,357942.779959,357942.780045,1500,0
22,357942.779965,357942.780048,1500,0
23,357942.780000,357942.780067,1500,0
24,357942.780140,357942.780196,1500,0
13,357942.779533,357943.780244,3000,2144
15,357942.779641,357943.780413,3000,2144
14,357942.779637,357943.780393,3000,2144
17,357942.779755,357943.780506,3000,2144
11,357942.779352,357944.780803,6000,6432
12,357942.779442,357944.780864,6000,6432
8,357942.779200,357945.781260,12000,15008
